common_name,scientific_name,order,family,genus,species,
Allard's tree cricket,Oecanthus allardi T. Walker and Gurney,Orthoptera,Gryllidae  ,Oecanthus,allardi,
Allegheny mound ant,Formica exsectoides Forel,Hymenoptera,Formicidae,Formica,exsectoides,
allium leafminer,Phytomyza gymnostoma (Loew),Diptera,Agromyzidae,Phytomyza,gymnostoma,
almond moth,Cadra cautella (Walker),Lepidoptera,Pyralidae,Cadra,cautella,
aloe mite,Aceria aloinis (Keifer),Acari,Eriophyidae,Aceria,aloinis,
American aspen beetle,Gonioctena americana (Schaeffer),Coleoptera,Chrysomelidae,Gonioctena,americana,
American black flour beetle,Tribolium audax Halstead,Coleoptera,Tenebrionidae,Tribolium,audax,
American bumble bee,Bombus pensylvanicus (De Geer),Hymenoptera,Apidae,Bombus,pensylvanicus,
American burying beetle,Nicrophorus americanus Olivier,Coleoptera,Silphidae,Nicrophorus,americanus,
American cockroach,Periplaneta americana (Linnaeus),Blattodea,Blattidae,Periplaneta,americana,
American dagger moth,Acronicta americana (Harris),Lepidoptera,Noctuidae,Acronicta,americana,
American dog tick,Dermacentor variabilis (Say),Acari,Ixodidae,Dermacentor,variabilis,
American grasshopper,Schistocerca americana (Drury),Orthoptera,Acrididae,Schistocerca,americana,
American hornet moth,Sesia tibialis (Harris),Lepidoptera,Sesiidae,Sesia,tibialis,
American house dust mite,Dermatophagoides farinae Hughes,Acari,Pyroglyphidae,Dermatophagoides,farinae,
American palm cixiid,Myndus crudus Van Duzee,Hemiptera,Cixiidae,Myndus,crudus,
American plum borer,Euzophera semifuneralis (Walker),Lepidoptera,Pyralidae,Euzophera,semifuneralis,
American serpentine leafminer,Liriomyza trifolii (Burgess),Diptera,Agromyzidae,Liriomyza,trifolii,
American spider beetle,Mezium americanum (Castelnau),Coleoptera,Ptinidae,Mezium,americanum,
Angora goat biting louse,Bovicola crassipes (Rudow),Phthiraptera,Trichodectidae,Bovicola,crassipes,
Angoumois grain moth,Sitotroga cerealella (Olivier),Lepidoptera,Gelechiidae,Sitotroga,cerealella,
angraecum scale,Conchaspis angraeci Cockerell,Hemiptera,Conchaspididae,Conchaspis,angraeci,
angularwinged katydid,Microcentrum retinerve (Burmeister),Orthoptera,Tettigoniidae,Microcentrum,retinerve,
angulate leafhopper,Acinopterus angulatus Lawson,Hemiptera,Cicadellidae,Acinopterus,angulatus,
annual bluegrass weevil,Listronotus maculicollis (Kirby),Coleoptera,Curculionidae,Listronotus,maculicollis,
anthurium whitefly,Aleurotulus anthuricola Nakahara,Hemiptera,Aleyrodidae,Aleurotulus,anthuricola,
apple aphid,Aphis pomi De Geer,Hemiptera,Aphididae,Aphis,pomi,
apple bark borer,Synanthedon pyri (Harris),Lepidoptera,Sesiidae,Synanthedon,pyri,
apple barkminer,Marmara elotella (Busck),Lepidoptera,Gracillariidae,Marmara,elotella,
apple blotch leafminer,Phyllonorycter crataegella (Clemens),Lepidoptera,Gracillariidae,Phyllonorycter,crataegella,
apple curculio,Anthonomus quadrigibbus Say,Coleoptera,Curculionidae,Anthonomus,quadrigibbus,
apple flea weevil,Rhynchaenus pallicornis (Say),Coleoptera,Curculionidae,Rhynchaenus,pallicornis,
apple fruit moth,Argyresthia conjugella Zeller,Lepidoptera,Argyresthiidae,Argyresthia,conjugella,
apple fruitminer,Marmara pomonella Busck,Lepidoptera,Gracillariidae,Marmara,pomonella,
apple grain aphid,Rhopalosiphum oxyacanthae (Schrank),Hemiptera,Aphididae,Rhopalosiphum,oxyacanthae,
apple leafhopper,Empoasca maligna (Walsh),Hemiptera,Cicadellidae,Empoasca,maligna,
apple maggot,Rhagoletis pomonella (Walsh),Diptera,Tephritidae,Rhagoletis,pomonella,
apple mealybug,Phenacoccus aceris (Signoret),Hemiptera,Pseudococcidae,Phenacoccus,aceris,
apple red bug,Lygidea mendax Reuter,Hemiptera,Miridae,Lygidea,mendax,
apple rust mite,Aculus schlechtendali (Nalepa),Acari,Eriophyidae,Aculus,schlechtendali,
apple seed chalcid,Torymus varians (Walker),Hymenoptera,Torymidae,Torymus,varians,
apple sucker,Cacopsylla mali (Schmidberger),Hemiptera,Psyllidae,Cacopsylla,mali,
apple twig borer,Amphicerus bicaudatus (Say),Coleoptera,Bostrichidae,Amphicerus,bicaudatus,
apple-and-thorn skeletonizer,Choreutis pariana (Clerck),Lepidoptera,Choreutidae,Choreutis,pariana,
appleleaf skeletonizer,Psorosina hammondi (Riley),Lepidoptera,Pyralidae,Psorosina,hammondi,
appleleaf trumpet miner,Tischeria malifoliella Clemens,Lepidoptera,Tischeriidae,Tischeria,malifoliella,
araucaria aphid,Neophyllaphis araucariae Takahashi,Hemiptera,Aphididae,Neophyllaphis,araucariae,
araucaria mealybug,Acanthococcus araucariae (Maskell),Hemiptera,Eriococcidae,Acanthococcus,araucariae,
arborvitae leafminer,Argyresthia thuiella (Packard),Lepidoptera,Argyresthiidae,Argyresthia,thuiella,
arborvitae weevil,Phyllobius intrusus Kono,Coleoptera,Curculionidae,Phyllobius,intrusus,
Argentine ant,Linepithema humile (Mayr),Hymenoptera,Formicidae,Linepithema,humile,
argus tortoise beetle,Chelymorpha cassidea (Fabricius),Coleoptera,Chrysomelidae,Chelymorpha,cassidea,
arid land subterranean termite,Reticulitermes tibialis Banks,Blattodea,Rhinotermitidae,Reticulitermes,tibialis,
Arizona fivespined ips,Ips lecontei Swaine,Coleoptera,Curculionidae,Ips,lecontei,
army cutworm,Euxoa auxiliaris (Grote),Lepidoptera,Noctuidae,Euxoa,auxiliaris,
armyworm,Mythimna unipuncta (Haworth),Lepidoptera,Noctuidae,Mythimna,unipuncta,
arroyo willow stem-galling sawfly,Euura lasiolepis Smith,Hymenoptera,Tenthredinidae,Euura,lasiolepis,
artichoke plume moth,Platyptilia carduidactyla (Riley),Lepidoptera,Pterophoridae,Platyptilia,carduidactyla,
ash borer*,Podosesia syringae (Harris),Lepidoptera,Sesiidae,Podosesia,syringae,
ash plant bug,Tropidosteptes amoenus Reuter,Hemiptera,Miridae,Tropidosteptes,amoenus,
ashgray blister beetle,Epicauta fabricii (LeConte),Coleoptera,Meloidae,Epicauta,fabricii,
Ashton cuckoo bumble bee,Bombus ashtoni (Cresson),Hymenoptera,Apidae,Bombus,ashtoni,
Asian chestnut gall wasp,Dryocosmus kuriphilus (Yasumatsu),Hymenoptera,Cynipidae,Dryocosmus,kuriphilus,
Asian citrus psyllid,Diaphorina citri Kuwayama,Hemiptera,Liviidae,Diaphorina,citri,
Asian cockroach,Blattella asahinai Mizukubo,Blattodea,Blattellidae,Blattella,asahinai,
Asian longhorned beetle,Anoplophora glabripennis (Motschulsky),Coleoptera,Cerambycidae,Anoplophora,glabripennis,
Asian longhorned tick,Haemaphysalis longicornis Neumann,Acari,Ixodidae,Haemaphysalis,longicornis,
Asian needle ant,Pachycondyla chinensis (Emery),Hymenoptera,Formicidae,Pachycondyla,chinensis,
Asian subterranean termite,Coptotermes gestroi (Wasmann),Blattodea,Rhinotermitidae,Coptotermes,gestroi,
Asian tiger mosquito,Aedes albopictus (Skuse),Diptera,Culicidae,Aedes,albopictus,
Asiatic garden beetle,Maladera castanea (Arrow),Coleoptera,Scarabaeidae,Maladera,castanea,
Asiatic oak weevil,Cyrtepistomus castaneus (Roelofs),Coleoptera,Curculionidae,Cyrtepistomus,castaneus,
Asiatic rice borer,Chilo suppressalis (Walker),Lepidoptera,Crambidae,Chilo,suppressalis,
Asiatic rose scale,Aulacaspis rosarum Borchsenius,Hemiptera,Diaspididae,Aulacaspis,rosarum,
asparagus aphid,Brachycorynella asparagi (Mordvilko),Hemiptera,Aphididae,Brachycorynella,asparagi,
asparagus beetle,Crioceris asparagi (Linnaeus),Coleoptera,Chrysomelidae,Crioceris,asparagi,
asparagus miner,Ophiomyia simplex (Loew),Diptera,Agromyzidae,Ophiomyia,simplex,
asparagus spider mite,Schizotetranychus asparagi (Oudemans),Acari,Tetranychidae,Schizotetranychus,asparagi,
aspen blotchminer,Phyllonorycter tremuloidiella (Braun),Lepidoptera,Gracillariidae,Phyllonorycter,tremuloidiella,
aspen leaf beetle,Chrysomela crotchi Brown,Coleoptera,Chrysomelidae,Chrysomela,crotchi,
aster leafhopper,Macrosteles quadrilineatus (Forbes),Hemiptera,Cicadellidae,Macrosteles,quadrilineatus,
aster leafminer,Calycomyza humeralis (Roser),Diptera,Agromyzidae,Calycomyza,humeralis,
Australian cockroach,Periplaneta australasiae (Fabricius),Blattodea,Blattidae,Periplaneta,australasiae,
Australian fern weevil,Syagrius fulvitarsis Pascoe,Coleoptera,Curculionidae,Syagrius,fulvitarsis,
Australian mantid,Tenodera australasiae (Leach),Mantodea,Mantidae,Tenodera,australasiae,
Australian pine borer,Chrysobothris tranquebarica (Gmelin),Coleoptera,Buprestidae,Chrysobothris,tranquebarica,
Australian rat flea,Xenopsylla vexabilis (Jordan),Siphonaptera,Pulicidae,Xenopsylla,vexabilis,
Australian spider beetle,Ptinus ocellus Brown,Coleoptera,Ptinidae,Ptinus,ocellus,
avocado brown mite,Oligonychus punicae (Hirst),Acari,Tetranychidae,Oligonychus,punicae,
avocado red mite,Oligonychus yothersi (McGregor),Acari,Tetranychidae,Oligonychus,yothersi,
avocado seed moth,Stenoma catenifer Walsingham,Lepidoptera,Elachistidae,Stenoma,catenifer,
avocado thrips,Scirtothrips perseae Nakahara,Thysanoptera,Thripidae,Scirtothrips,perseae,
avocado whitefly,Trialeurodes floridensis (Quaintance),Hemiptera,Aleyrodidae,Trialeurodes,floridensis,
azalea bark scale,Acanthococcus azaleae (Comstock),Hemiptera,Eriococcidae,Acanthococcus,azaleae,
azalea caterpillar,Datana major Grote & Robinson,Lepidoptera,Notodontidae,Datana,major,
azalea lace bug,Stephanitis pyrioides (Scott),Hemiptera,Tingidae,Stephanitis,pyrioides,
azalea leafminer,Caloptilia azaleella (Brants),Lepidoptera,Gracillariidae,Caloptilia,azaleella,
azalea plant bug,Rhinocapsus vanduzeei Uhler,Hemiptera,Miridae,Rhinocapsus,vanduzeei,
azalea white mite,Eotetranychus clitus Pritchard & Baker,Acari,Tetranychidae,Eotetranychus,clitus,
azalea whitefly,Pealius azaleae (Baker & Moles),Hemiptera,Aleyrodidae,Pealius,azaleae,
bagworm,Thyridopteryx ephemeraeformis (Haworth),Lepidoptera,Psychidae,Thyridopteryx,ephemeraeformis,
Bahaman swallowtail,Papilio andraemon bonhotei Sharpe,Lepidoptera,Papilionidae,Papilio,andraemon bonhotei,
baldcypress coneworm,Dioryctria pygmaeella Ragonot,Lepidoptera,Pyralidae,Dioryctria,pygmaeella,
baldfaced hornet,Dolichovespula maculata (Linnaeus),Hymenoptera,Vespidae,Dolichovespula,maculata,
balsam fir sawfly,Neodiprion abietis (Harris),Hymenoptera,Diprionidae,Neodiprion,abietis,
balsam fir sawyer,Monochamus marmorator Kirby,Coleoptera,Cerambycidae,Monochamus,marmorator,
balsam gall midge,Paradiplosis tumifex Gagné,Diptera,Cecidomyiidae,Paradiplosis,tumifex,
balsam shootboring sawfly,Pleroneura brunneicornis Rohwer,Hymenoptera,Xyelidae,Pleroneura,brunneicornis,
balsam twig aphid,Mindarus pinicola (Thomas),Hemiptera,Aphididae,Mindarus,pinicola,
balsam woolly adelgid,Adelges piceae (Ratzeburg),Hemiptera,Adelgidae,Adelges,piceae,
bamboo borer,Chlorophorus annularis (Fabricius),Coleoptera,Cerambycidae,Chlorophorus,annularis,
bamboo mealybug,Chaetococcus bambusae (Maskell),Hemiptera,Pseudococcidae,Chaetococcus,bambusae,
bamboo powderpost beetle,Dinoderus minutus (Fabricius),Coleoptera,Bostrichidae,Dinoderus,minutus,
bamboo spider mite,Schizotetranychus celarius (Banks),Acari,Tetranychidae,Schizotetranychus,celarius,
banana aphid,Pentalonia nigronervosa Coquerel,Hemiptera,Aphididae,Pentalonia,nigronervosa,
banana mealybug,Pseudococcus elisae Borchsenius,Hemiptera,Pseudococcidae,Pseudococcus,elisae,
banana rind thrips,Elixothrips brevisetis (Bagnall),Thysanoptera,Thripidae,Elixothrips,brevisetis,
banana root borer,Cosmopolites sordidus (Germar),Coleoptera,Curculionidae,Cosmopolites,sordidus,
banana skipper,Erionota thrax (Linnaeus),Lepidoptera,Hesperiidae,Erionota,thrax,
banded alder borer,Rosalia funebris Motschulsky,Coleoptera,Cerambycidae,Rosalia,funebris,
banded ash clearwing,Podosesia aureocincta Purrington & Nielsen,Lepidoptera,Sesiidae,Podosesia,aureocincta,
banded cucumber beetle,Diabrotica balteata LeConte,Coleoptera,Chrysomelidae,Diabrotica,balteata,
banded elm bark beetle,Scolytus schevyrewi Semenov,Coleoptera,Curculionidae,Scolytus,schevyrewi,
banded greenhouse thrips,Hercinothrips femoralis (O.M. Reuter),Thysanoptera,Thripidae,Hercinothrips,femoralis,
banded hickory borer,Knulliana cincta (Drury),Coleoptera,Cerambycidae,Knulliana,cincta,
banded sunflower moth,Cochylis hospes Walsingham,Lepidoptera,Tortricidae,Cochylis,hospes,
banded wood snail,Cepaea nemoralis (Linnaeus),Stylommatophora,Helicidae,Cepaea,nemoralis,
banded woollybear,Pyrrharctia isabella (J.E. Smith),Lepidoptera,Erebidae,Pyrrharctia,isabella,
bandedwinged whitefly,Trialeurodes abutiloneus (Haldeman),Hemiptera,Aleyrodidae,Trialeurodes,abutiloneus,
Banks grass mite,Oligonychus pratensis (Banks),Acari,Tetranychidae,Oligonychus,pratensis,
banyan aphid,Reticulaphis fici (Takahashi),Hemiptera,Aphididae,Reticulaphis,fici,
Barber brown lacewing,Sympherobius barberi (Banks),Neuroptera,Hemerobiidae,Sympherobius,barberi,
barberpole caterpillar,Mimoschinia rufofascialis (Stephens),Lepidoptera,Crambidae,Mimoschinia,rufofascialis,
barley jointworm,Tetramesa hordei (Harris),Hymenoptera,Eurytomidae,Tetramesa,hordei,
barnacle scale,Ceroplastes cirripediformis Comstock,Hemiptera,Coccidae,Ceroplastes,cirripediformis,
basswood lace bug,Gargaphia tiliae (Walsh),Hemiptera,Tingidae,Gargaphia,tiliae,
basswood leafminer,Baliosus nervosus (Panzer),Coleoptera,Chrysomelidae,Baliosus,nervosus,
basswood leafroller,Pantographa limata (Grote & Robinson),Lepidoptera,Crambidae,Pantographa,limata,
basswood thrips,Neohydatothrips tiliae Hood,Thysanoptera,Thripidae,Neohydatothrips,tiliae,
beachgrass scale,Acanthococcus carolinae (Williams),Hemiptera,Eriococcidae,Acanthococcus,carolinae,
bean aphid,Aphis fabae Scopoli,Hemiptera,Aphididae,Aphis,fabae,
bean butterfly,Lampides boeticus (Linnaeus),Lepidoptera,Lycaenidae,Lampides,boeticus,
bean capsid,Pycnoderes quadrimaculatus Guérin-Méneville,Hemiptera,Miridae,Pycnoderes,quadrimaculatus,
bean fly,Ophiomyia phaseoli (Tryon),Diptera,Agromyzidae,Ophiomyia,phaseoli,
bean leaf beetle,Cerotoma trifurcata (Förster),Coleoptera,Chrysomelidae,Cerotoma,trifurcata,
bean leafroller,Urbanus proteus (Linnaeus),Lepidoptera,Hesperiidae,Urbanus,proteus,
bean leafskeletonizer,Autoplusia egena (Guenée),Lepidoptera,Noctuidae,Autoplusia,egena,
bean pod borer,Maruca vitrata (Fabricius),Lepidoptera,Crambidae,Maruca,vitrata,
bean seed maggot,Delia florilega (Zetterstedt),Diptera,Anthomyiidae,Delia,florilega,
bean stalk weevil,Sternechus paludatus (Casey),Coleoptera,Curculionidae,Sternechus,paludatus,
bean thrips,Caliothrips fasciatus (Pergande),Thysanoptera,Thripidae,Caliothrips,fasciatus,
bean weevil,Acanthoscelides obtectus (Say),Coleoptera,Chrysomelidae,Acanthoscelides,obtectus,
Beardsley leafhopper,Balclutha saltuella (Kirschbaum),Hemiptera,Cicadellidae,Balclutha,saltuella,
bed bug,Cimex lectularius Linnaeus,Hemiptera,Cimicidae,Cimex,lectularius,
beech blight aphid,Grylloprociphilus imbricator (Fitch),Hemiptera,Aphididae,Grylloprociphilus,imbricator,
beech scale,Cryptococcus fagisuga Lindinger,Hemiptera,Eriococcidae,Cryptococcus,fagisuga,
beet armyworm,Spodoptera exigua (Hübner),Lepidoptera,Noctuidae,Spodoptera,exigua,
beet leaf beetle,Erynephala puncticollis (Say),Coleoptera,Chrysomelidae,Erynephala,puncticollis,
beet leafhopper,Neoalitarsus tenellus (Baker),Hemiptera,Cicadellidae,Neoalitarsus,tenellus,
beet leafminer,Pegomya betae Curtis,Diptera,Anthomyiidae,Pegomya,betae,
beet webworm,Loxostege sticticalis (Linnaeus),Lepidoptera,Crambidae,Loxostege,sticticalis,
bella moth,Utetheisa ornatrix (Linnaeus),Lepidoptera,Erebidae,Utetheisa,ornatrix,
Bermudagrass mite,Aceria cynodoniensis Sayed,Acari,Eriophyidae,Aceria,cynodoniensis,
bermudagrass stem maggot,Atherigona reversura Villenueve,Diptera,Muscidae,Atherigona,reversura,
bertha armyworm,Mamestra configurata Walker,Lepidoptera,Noctuidae,Mamestra,configurata,
bidens borer,Epiblema otiosana (Clemens),Lepidoptera,Tortricidae,Epiblema,otiosana,
bigheaded ant,Pheidole megacephala (Fabricius),Hymenoptera,Formicidae,Pheidole,megacephala,
bigheaded grasshopper,Aulocara elliotti (Thomas),Orthoptera,Acrididae,Aulocara,elliotti,
birch bark beetle,Dryocoetes betulae Hopkins,Coleoptera,Curculionidae,Dryocoetes,betulae,
birch casebearer*,Coleophora serratella (Linnaeus),Lepidoptera,Coleophoridae,Coleophora,serratella,
birch leafminer,Fenusa pumila (Leach),Hymenoptera,Tenthredinidae,Fenusa,pumila,
birch sawfly,Arge pectoralis (Leach),Hymenoptera,Argidae,Arge,pectoralis,
birch skeletonizer,Bucculatrix canadensisella Chambers,Lepidoptera,Bucculatricidae,Bucculatrix,canadensisella,
birch tubemaker,Acrobasis betulella Hulst,Lepidoptera,Pyralidae,Acrobasis,betulella,
bird blow flies (genera),Protocalliphora spp.,Diptera,Calliphoridae,Protocalliphora,spp.,
bird cherry-oat aphid,Rhopalosiphum padi (Linnaeus),Hemiptera,Aphididae,Rhopalosiphum,padi,
bird tick,Haemaphysalis chordeilis (Packard),Acari,Ixodidae,Haemaphysalis,chordeilis,
black and gold bumble bee,Bombus auricomus (Robertson),Hymenoptera,Apidae,Bombus,auricomus,
black and yellow mud dauber,Sceliphron caementarium (Drury),Hymenoptera,Sphecidae,Sceliphron,caementarium,
black army cutworm,Actebia fennica (Tauscher),Lepidoptera,Noctuidae,Actebia,fennica,
black blister beetle,Epicauta pensylvanica (De Geer),Coleoptera,Meloidae,Epicauta,pensylvanica,
black blow fly,Phormia regina (Meigen),Diptera,Calliphoridae,Phormia,regina,
black bug,Corimelaena pulicaria (Germar),Hemiptera,Thyreocoridae,Corimelaena,pulicaria,
black carpenter ant,Camponotus pennsylvanicus (De Geer),Hymenoptera,Formicidae,Camponotus,pennsylvanicus,
black carpet beetle,Attagenus unicolor (Brahm),Coleoptera,Dermestidae,Attagenus,unicolor,
black cherry aphid,Myzus cerasi (Fabricius),Hemiptera,Aphididae,Myzus,cerasi,
black cherry fruit fly,Rhagoletis fausta (Osten Sacken),Diptera,Tephritidae,Rhagoletis,fausta,
black citrus aphid,Aphis aurantii Boyer de Fonscolombe,Hemiptera,Aphididae,Aphis,aurantii,
black cockroach wasp,Dolichurus stantoni (Ashmead),Hymenoptera,Sphecidae,Dolichurus,stantoni,
black cutworm,Agrotis ipsilon (Hufnagel),Lepidoptera,Noctuidae,Agrotis,ipsilon,
black dung beetle,Copris incertus Say,Coleoptera,Scarabaeidae,Copris,incertus,
black earwig,Chelisoches morio (Fabricius),Dermaptera,Chelisochidae,Chelisoches,morio,
black elm bark weevil,Magdalis barbita (Say),Coleoptera,Curculionidae,Magdalis,barbita,
black fig fly,Silba adipata McAlpine,Diptera,Lonchaeidae,Silba,adipata,
black flower thrips,Haplothrips gowdeyi (Franklin),Thysanoptera,Phlaeothripidae,Haplothrips,gowdeyi,
black fungus beetle,Alphitobius laevigatus (Fabricius),Coleoptera,Tenebrionidae,Alphitobius,laevigatus,
black grain stem sawfly,Trachelus tabidus (Fabricius),Hymenoptera,Cephidae,Trachelus,tabidus,
black horse fly,Tabanus atratus Fabricius,Diptera,Tabanidae,Tabanus,atratus,
black hunter thrips,Leptothrips mali (Fitch),Thysanoptera,Phlaeothripidae,Leptothrips,mali,
black imported fire ant,Solenopsis richteri Forel,Hymenoptera,Formicidae,Solenopsis,richteri,
black lady beetle,Rhyzobius ventralis (Erichson),Coleoptera,Coccinellidae,Rhyzobius,ventralis,
black larder beetle,Dermestes ater De Geer,Coleoptera,Dermestidae,Dermestes,ater,
black peach aphid,Brachycaudus persicae (Passerini),Hemiptera,Aphididae,Brachycaudus,persicae,
black pecan aphid,Melanocallis caryaefoliae (Davis),Hemiptera,Aphididae,Melanocallis,caryaefoliae,
black pineleaf scale,Nuculaspis californica (Coleman),Hemiptera,Diaspididae,Nuculaspis,californica,
black potter wasp,Delta pyriforme philippinense (Bequaert),Hymenoptera,Vespidae,Delta,pyriforme philippinense,
black salt marsh mosquito,Aedes (Ochlerotatus) taeniorhynchus (Wiedemann),Diptera,Culicidae,Aedes (Ochlerotatus),taeniorhynchus,
black scale,Saissetia oleae (Olivier),Hemiptera,Coccidae,Saissetia,oleae,
black soldier fly,Hermetia illucens (Linnaeus),Diptera,Stratiomyidae,Hermetia,illucens,
black stink bug,Coptosoma xanthogramma (White),Hemiptera,Plataspidae,Coptosoma,xanthogramma,
black sunflower stem weevil,Apion (Fallapion) occidentale Fall,Coleoptera,Brentidae,Apion (Fallapion),occidentale,
black swallowtail*,Papilio polyxenes Stoll,Lepidoptera,Papilionidae,Papilio,polyxenes,
black tail bumble bee,Bombus melanopygus Nylander,Hymenoptera,Apidae,Bombus,melanopygus,
black thread scale,Ischnaspis longirostris (Signoret),Hemiptera,Diaspididae,Ischnaspis,longirostris,
black turfgrass ataenius,Ataenius spretulus (Haldeman),Coleoptera,Scarabaeidae,Ataenius,spretulus,
black turpentine beetle,Dendroctonus terebrans (Olivier),Coleoptera,Curculionidae,Dendroctonus,terebrans,
black twig borer,Xylosandrus compactus (Eichhoff),Coleoptera,Curculionidae,Xylosandrus,compactus,
black vine weevil,Otiorhynchus sulcatus (Fabricius),Coleoptera,Curculionidae,Otiorhynchus,sulcatus,
black walnut curculio,Conotrachelus retentus (Say),Coleoptera,Curculionidae,Conotrachelus,retentus,
black witch,Ascalapha odorata (Linnaeus),Lepidoptera,Erebidae,Ascalapha,odorata,
blackbellied clerid,Enoclerus lecontei (Wolcott),Coleoptera,Cleridae,Enoclerus,lecontei,
blackberry skeletonizer,Schreckensteinia festaliella (Hübner),Lepidoptera,Heliodinidae,Schreckensteinia,festaliella,
Blackburn butterfly,Vaga blackburni (Tuely),Lepidoptera,Lycaenidae,Vaga,blackburni,
Blackburn damsel bug,Nabis blackburni White,Hemiptera,Nabidae,Nabis,blackburni,
Blackburn dragonfly,Nesogonia blackburni (McLachlan),Odonata,Libellulidae,Nesogonia,blackburni,
Blackburn's sphinx moth,Manduca blackburni (Butler),Lepidoptera,Sphingidae,Manduca,blackburni,
blackfaced leafhopper,Graminella nigrifrons (Forbes),Hemiptera,Cicadellidae,Graminella,nigrifrons,
blackheaded ash sawfly,Tethida barda (Say),Hymenoptera,Tenthredinidae,Tethida,barda,
blackheaded fireworm,Rhopobota naevana (Hübner),Lepidoptera,Tortricidae,Rhopobota,naevana,
blackheaded pine sawfly,Neodiprion excitans Rohwer,Hymenoptera,Diprionidae,Neodiprion,excitans,
blackhorned pine borer,Callidium antennatum hesperum Casey,Coleoptera,Cerambycidae,Callidium,antennatum hesperum,
blackhorned tree cricket,Oecanthus nigricornis F. Walker,Orthoptera,Gryllidae,Oecanthus,nigricornis,
blackjacket,Vespula consobrina (Saussure),Hymenoptera,Vespidae,Vespula,consobrina,
blacklegged tick,Ixodes scapularis Say,Acari,Ixodidae,Ixodes,scapularis,
blacklegged tortoise beetle,Jonthonota nigripes (Olivier),Coleoptera,Chrysomelidae,Jonthonota,nigripes,
blackmargined aphid,Monellia caryella (Fitch),Hemiptera,Aphididae,Monellia,caryella,
blister coneworm,Dioryctria clarioralis (Walker),Lepidoptera,Pyralidae,Dioryctria,clarioralis,
bloodsucking conenose,Triatoma sanguisuga (LeConte),Hemiptera,Reduviidae,Triatoma,sanguisuga,
blue alfalfa aphid,Acyrthosiphon kondoi Shinji,Hemiptera,Aphididae,Acyrthosiphon,kondoi,
blue cactus borer,Melitara dentata (Grote),Lepidoptera,Pyralidae,Melitara,dentata,
blue horntail,Sirex cyaneus Fabricius,Hymenoptera,Siricidae,Sirex,cyaneus,
blue soldier fly,Exaireta spinigera (Wiedemann),Diptera,Stratiomyidae,Exaireta,spinigera,
blue spruce engraver,Ips hunteri Swaine,Coleoptera,Curculionidae,Ips,hunteri,
blueberry bud mite,Acalitus vaccinii (Keifer),Acari,Eriophyidae,Acalitus,vaccinii,
blueberry case beetle,Neochlamisus cribripennis (LeConte),Coleoptera,Chrysomelidae,Neochlamisus,cribripennis,
blueberry flea beetle,Altica sylvia Malloch,Coleoptera,Chrysomelidae,Altica,sylvia,
